id;nombre_planta;nombre_comun;nombre_cientifico;reino;lugar_adaptacion;lugar_proviene;uso;como_ingerir;dosis;tipo;clase;orden;familia;genero;especie;imagen_planta
104;Chamico;Chamico, antemonia, antimonio, astramonio, azotacristos.;Datura;Plantae;Las Daturas crecen en todo el mundo y sobre todo en los climas calurosos y tropicales.;Su origen se restringe a América.;"El exudado se usa para el dolor de oído, se saca látex de la planta, se humedece con éste un algodón y se coloca en el oído. El fruto tiene propiedades analgésicas. Para las várices se aplican con barro en la zona afectada. La planta completa sirve contra inflamaciones. La raíz es analgésica. Las semillas se emplean contra los dolores del parto o para favorecer el trance; dolor reumático; maceradas en alcohol se frotan en las hemorroides, masticadas producen embriaguez; esto produce falta de apetito.";Oral y tópica.;Hervir por separado cada parte de la planta, según el caso a tratar.;Datura;Dicotiledóneas;Solanales;Solanaceae;Toloaches;Datura ferox;plantas/chamico.jpg
63;Hinojo;Hinojo;Foeniculum vulgare;Plantae;Se encuentra distribuida por las zonas templadas de todo el mundo.;De la zona meridional de Europa, en especial la costa del mar Mediterráneo.;Es muy versátil ya que los tallos y las hojas picados se utilizan como hierba aromática, las semillas como especia y el bulbo como hortaliza, aportando en cada caso un característico sabor y aroma anisados e intensos.;Infusión: Hierve el agua., cuando el agua entre en ebullición coloca el hinojo, considera como medida, una taza de agua por cucharadita de planta, deja que se cocine durante 5 minutos, permite que repose por 3 minutos, cuela (cierna) y sirve en una taza, puedes beberlo caliente o tibio.;Se puede beber una taza en la noche.;Magnoliophyta;Dicotiledóneas;Apiales.;Umbelíferas;Foeniculum;Foeniculum azoricum;plantas/hinojo.jpg
67;Sauco Negro;Saúco negro o saúco común, o, simplemente, saúco.;Sambucus nigra;Plantae;Crece en una variedad de condiciones ambientales, tanto en suelo húmedo como en seco.;Nativo de Europa, noroeste de África y sudoeste de Asia.;Es una planta medicinal con una serie de propiedades que la hacen muy recomendada para personas con problemas de retención de líquidos o infecciones de orina, además de ser considerada también una planta ornamental. Extractos de corteza de tallos, hojas, flores, frutos, raíces, se usan para tratar bronquitis, tos, infecciones de vías respiratorias superiores, fiebre. Se emplean para elaborar aguardientes e incluso vinos.;"Se puede tomar en infusión, tintura, jarabe, zumo de sus bayas, vino de sáuco, pastillas y gotas. 
Para la fatiga visual y alteraciones oculares, se aplica con ayuda de compresas en infusión sobre los ojos cerrados.";En polvo: 3-5 gramos cada 8 horas. Infusión: 3-4 g por cada 150 mL cada 8 horas.;Magnoliophyta.;Magnoliopsida;Dipsacales.;Adoxaceae;Sambucus;S. nigra;plantas/sauco_negro.jpg
61;Madreselva;Madreselva, Madreselva perfoliada, Madreselva de los jardines.;Lonicera Caprifolium.;Plantae;Zonas frías y con poca exposición al sol.;Zona sur de Europa.;La corteza y las hojas de la madreselva poseen efectos  desintoxicantes, son diuréticas y sudoríficas, astringentes, curativas y, en  dosis mayores, eméticas.;Infusión de flor madreselva.;Toma las flores más nuevas, las que estén recién abiertas. Colócalas en una tetera. Calienta 3 tazas de agua hasta que hierva y viértela sobre las flores. Deja reposar por 15 minutos. Cuela y bebe lentamente para disfrutar de su delicioso aroma y sabor.;Magnoliophyta.;Dicotiledóneas.;Dipsacales.;Caprifoliaceae.;Lonicera, L.;Lonicera caprifolia;plantas/madreselva.jpg
71;Paico;Paico, epazote, acahualillo o té de milpa.;Dysphania;Plantae;En climas cálido, semicálido, seco y templado.;Originaria de América Central y Norte de América del Sur.;"Este puede servir para tratar un resfrío; puede ser también comestible; y es muy efectivo para los golpes.";Se coloca el emplasto en la zona golpeada, en caso de resfrío se coloca el emplasto en el pecho;Se hace un emplasto con las hojas, la raíz y el tallo.;Magnoliophyta.;Magnoliopsida;Caryophyllales.;Amaranthaceae;Dysphania;Dysphania ambrosioides;plantas/paico.jpg
72;Valeriana;Valeriana, valeriana común, valeriana de las boticas.;Valeriana officinalis;Plantae;Es muy común en los bosques húmedos y al borde de corrientes de agua.;Nativa de Europa y algunas partes de Asia.;Este puede servir para controlar lo que son los nervios  y la presión. Infecciones de la piel, enfermedades del corazón, insomnio, dolor  de cabeza, cólicos menstruales.;Es necesario y recomendable adquirir solamente una cucharadita de esta agua.;En una taza de agua aromática o de jugo u otra bebida, se debe agregar una cucharadita, llena del agua de valeriana, posteriormente se realizara una mezcla de los dos líquidos y se beberá poco a poco.;Magnoliophyta.;Magnoliopsida;Dipsacales.;Caprifoliaceae;Valeriana;V. officinalis;plantas/valeriana.jpg
74;Hierba Blanca;Hierba Blanca, angustifolia, paraguariensis.;Aloysia ligustrina.;Plantae;Se encuentra en zonas serranas y en las cumbres de las quebradas de América.;Es originaria de América desde México hasta Argentina.;se utiliza como digestivo, carminativo y antiespasmódico, para casos de dispepsia o dolores de estómago. Se la consume también como sedante ligero.;Prepararla en agua y tomarla con miel al gusto.;Consumir de 4 a 5 tazas diarias.;Magnoliophyta.;Magnoliopsoda.;Lamiales.;Verbenaceae.;Aloysia.;Aloysia gratissima.;plantas/hierba_blanca.jpg
80;Achojcha;Achojcha, pepino, pepino de rellenar, archucha.;Cyclanthera pedata.;Plantae;Climas  tropicales y templados.;Originaria de los Andes su extensa área de distribución abarca Centroamérica, Sudamérica, Asia tropical y templada.;Curan los pies partidos por el frío, disminuye el escozor de las almorranas. Para esto, en medicina tradicional, se usa su fruto, moliendo y mezclando con manteca vegetal, infundia de gallina, licuada al fuego, Parte utilizada: Su fruto.;se usa su fruto, moliendo y mezclando con manteca vegetal, infundia de gallina, licuada al fuego,;Cruda en ensaladas, o cocida en varias preparaciones, y comiendo en ayunas purifica la sangre.;Magnoliophyta.;Dicotiledóneas;Violales.;Cucurbitáceas.;Cyclanthera;C.pedata;plantas/achojcha.jpg
101;Col;Col, Col de Bruselas, Repollo.;Brassica oleracea var. Capitata;Plantae;Humedad constante. Debido a su gran tamaño y a la disposición de las hojas.;Es nativa de la costa del sur y del oeste de Europa.;Indudablemente una verdura valiosa para la alimentación. Todos la usamos en casa, seguramente ignorando qué propiedades tiene y qué beneficios trae para la salud del hombre. Tradicionalmente, el zumo recién exprimido de repollo se ha utilizado en la medicina popular para tratar las úlceras de estómago y las duodenales, aunque hasta el momento no se conoce su eficacia real. Asimismo, el zumo de col agria se emplea para tratar los problemas de digestión. De manera externa se han utilizado las hojas machadas para tratar úlceras y heridas o se han colocado sobre los furúnculos.;Zumo, en ensalada.;No tiene restricción.;Magnoliophyta.;Magnoliosida;Capparales.;Brassicaceae (Cruciferae).;Brassica.;Brassica oleracea.;plantas/col.jpg
69;Ishpingo;Ishpingo, canela amazónica, flor de canela, ishpink, Ishpingu.;Ocotea quixos (LAURACEAE);Plantae;Se encuentran principalmente en bosques primarios y en chacras con suelos rojos, arcillosos y arenosos.;De la Amazonía;Su madera es usada en carpintería en general, en construcciones de viviendas rurales amazónicas. Tiene diversas propiedades medicinales, especialmente en casos de malestar estomacal y diarrea. En Manabí la usan para tratar artritis y calambres. Es una especie que permite aromatizar y saborizar los alimentos. Las flores son indispensables para la preparación de la colada morada.;infusión.;Beber una taza caliente de esta bebida.;Magnoliophyta.;Magnoliopsida;Laurales.;Amburana;Cearensis;Amburana;plantas/ishpingo.jpg
75;Eneldo;Eneldo, eneldo viscoso, hinojo hediondo, neeneldo.;Anethum Graveolens;Plantae;A climas templados fríos.;Es oriunda de la región oriental del mar Mediterráneo.;Disminuye la ansiedad, se emplean en la preparación de ciertas infusiones con fines terapéuticos. Estimulantes, carminativos, estomáquicos, ligeramente diuréticos y galactógogos. Condimento y aromatizante de conservas, chucrut, pickles, salsas para carnes y pescados, etc.;Infusión: verter 15-20 g de frutos sobre 1 litro de agua hirviendo. Reposar 10-15 minutos antes de filtrar.;Ingerir 100-200 mL al día repartidos en 2 dosis.;Magnoliophyta.;Magnoliopsida;Apiales.;Apiaceae;Anethum;Anethum graveolens;plantas/eneldo.jpg
76;Salvia;Salvia, alvia blanca, salvia con hojas de espliego, salvia de Aragón.;Salvia officinalis;Plantae;Crece silvestre y abundantemente en terrenos calcáreos o áridos, y de clima cálido y seco.;De las regiones mediterráneas.;"Está indicada como tónico digestivo y emenagogo; también para lavar heridas";Infusión: Se colocan tres cucharaditas de esta planta medicinal seca en 3 tazas de agua hervida, y se deja reposar.;Se debe beber 3 taza por día;Magnoliophyta.;Magnoliopsida;Lamiales.;Lamiaceae;Salvia;Salvia officinalis;plantas/salvia.jpg
13;Malva;Malva,  malmá, malva alta, malva común, malva dulce, malva lisa.;Lavatera arborea.;Plantae;Se ha introducido en Centroamérica y Norteamérica, donde está considerada como planta invasora.;Se encuentra en Asia occidental y Norte de África.;Ideal para suavizar las mucosas del aparato respiratorio, siendo muy efectiva en procesos como tos seca, catarros, fiebres, dolor en el pecho, anginas, bronquitis, faringitis, afonía, ronquera, sibilancia, etc.;La forma más efectiva para tomarnos seria en aguas en donde colocaremos dicha planta.;Toman de dos a tres tazas al día.;Magnoliophyta;Magnoliopsida;Malvales.;Malvaceae.;Malva;M. sylvestris;plantas/malva.jpg
12;Manzanilla;Manzanilla, camomila común o romana.;Chamaemelum nobile;Plantae;Actualmente se encuentra en la mayor parte de los Estados Unidos, Ecuador, Colombia, y en los valles centrales de Chile.;Nativa de Europa y las regiones templadas de Asia;Alivia dolores del estómago e infecciones.;Recolectar unas 5 o 6 ramas con flor de manzanilla y poner a hervir en agua de 5 a 10 minutos, se puede añadir bicarbonato y azúcar al gusto.;Beber una taza caliente de esta bebida.;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Chamaemelum;Chamaemelum nobile;plantas/manzanilla.jpg
14;Romero;Romero, romero blanco, romero común, romero coronario, romero fino.;Rosmarinus officinalis.;Plantae;Se cría en todo tipo de suelos, preferiblemente los secos y algo arenosos y permeables.;Mediterráneo en las Azores, Islas Canarias, Madeira, Bulgaria, Ucrania y Crimea.;Se utiliza para tratar muchos problemas de salud como el cansancio y los dolores de cabeza, caída del pelo.;1.Si es para la caída de cabello tenemos que mojarnos con el agua de romero. 2. La infusión de romero se utiliza para el cansancio y los dolores de cabeza;1. pasado un día darán buenos resultados. 2. toma 3,5 ml (50 gotas) de tintura de romero 3 veces al día.;Magnoliophyta;Magnoliopsida;Lamiales.;Lamiaceae (Labiatae).;Rosmarinus;Rosmarinus officinalis;plantas/romero.jpg
15;Sauce lloron;Sauce lloron.;Salix babylonica.;Plantae;Crece de manera silvestre y sin cuidados especiales.;Nativo del este de Asia especialmente del norte de China.;Sirve para el dolor de cabeza, dolores musculares, fibromialgia, ciática, dolor de oídos, dolores reumáticos, dolores en la menstruación, etc.;Se puede tomar mediante aguas medicinales.;1.Tomar un taza al dia por varias veces hasta que se sienta mejor.;Magnoliophyta.;Magnoliopsida.;Malpighiales.;Salicaceae.;Salix;Salix babylonica;plantas/sauce_lloron.jpg
22;Lamia;Lamia, asanda, té del río, yerba buena de los campos, menta del campo.;Menta arvenis.;Plantae;Europa, Asia, África, Oceanía, y América.;Nativa de las regiones templadas de Europa y Asia central y occidental, este del Himalaya y de Siberia.;Para una buena digestión. Para los dolores de origen dental. Tónico estimulante en pequeñas dosis, porque estupefaciente en dosis mayores, Antiálgico, anestesiante, Anti-cefálico, Antiviral, antibacteriano, Descongestionante.;Vía interna: Tomar 1 o 2 gotas de este aceite esencial quimiotipado mezcladas con miel o azúcar de caña después de la comida. Vía externa: Enjuagar con 3 gotas de este aceite esencial quimiotipado + 12 gotas de dispersante en media jarra de agua tibia.;Vía interna: tomar 1 o 2 gotas después de la comida. Vía externa: enjuagar con 3 gotas.;Magnoliophyta;Magnoliopsida;Lamiales.;Lamiaceae.;Mentha;M. arvensis.;plantas/lamia.jpg
11;Cebolla Blanca;Cebolla Blanca, cebolla cabezona, cebolla de huevo o cebolla de bulbo.;Allium cepa.;Plantae;Actualmente se cultiva en casi todo el mundo.;Su origen se sitúa en Asia Central.;Protege el corazón, aliada contra la diabetes, favorece la digestión.;Depende para que enfermedad necesite, pero en general se pela las cebollas y se licua.;Tomar tres veces a la semana por dos meses.;Magnoliophyta;Liliopsida;Liliales.;Liliceae.;Allium;Allium cepa;plantas/cebolla_blanca.jpg
81;Corona de Cristo;Corona de Cristo, flor de cristo, corona de espinas, espinas de Cristo;Euphorbia Milii;Plantae;Sse puede encontrar en algunas zonas del norte de América del Sur.;Arbusto originario de Madagascar.;Es una planta que se utiliza para los problemas del sueño (insomnio), trastornos gastrointestinales relacionados con la ansiedad o el nerviosismo, trastorno de ansiedad generalizada y aliviar los síntomas relacionados con la abstinencia de narcóticos.;Primero hervir el agua cuando rompa en hervor, apagar el fuego agregar la hierba secar y dejar reposar por 5 o 6 minutos. Luego colar y tomar, no tomar mas de una taza al día;La dosis si la conseguimos sin envasar en porciones o recogemos y secamos nosotros mismos la plantas, son dos cucharaditas de las de te para una taza de agua.;Magnoliophyta.;Magnoliopsida;Malpighiales.;Euphorbiaceae;Euphorbia;E. milii;plantas/corona_de_cristo.jpg
83;Chilchil;Chilchil, chinchilla, wacataya, hiqchipa, quinchihue.;Tangente Minuta.;Plantae;En toda América.;Es originaria de los pastizales y las regiones montañosa del sur de Sudamérica.;Se utiliza para realizar limpias contra el mal aire y mal de ojo. La planta también actúa como plaguicida realizando control biológico. Es una planta cálida. Se utiliza las hojas y flores machacadas para el control de pulgón y otros insectos. También se siembra entre las hortalizas y legumbres y debido a su fuerte olor aleja los insectos, constituyendo en un excelente controlador biológico.;Se usa toda la planta en conjunto con otras plantas de olores fuertes, se realiza limpias de todo el cuerpo del paciente.;Se debe realizar la limpia por una curandera un martes o viernes.;Magnoliophyta.;magnoliopsida;Asterales.;compositaceae;tagentes;laurus nobilis;plantas/chilchil.jpg
87;Coco;Coco, cocotero.;Cocos nucifera.;Plantae;Se puede encontrar en la orilla de playas tropicales arenosas3​ del mar Caribe, océano Índico y Pacífico.;Es originaria de las costas tropicales asiáticas o de las americanas.;Es usado como diurético, emoliente, vermífugo, discretamente laxante. La cáscara quemada se emplea como sahumerio en caso de dolor de muelas. Con la pulpa se hace un jarabe pectoral. La decocción del mesocarpo fibroso, en las zonas de origen, se usa como purgante y antihelmíntico.;Se le revienta al coco y sacamos en vaso de ese líquido.;Se le revienta al coco y sacamos en vaso de ese líquido.;Magnoliophyta.;Cocoeae.;Butiinae;Arecaceae;Cocos;Cocos nucifera;plantas/coco.jpg
20;Palo santo;Palo santo, caraña, crispín.;Bursera graveolens;Plantae;Crece en bosques secos en gran parte de América tropical de la costa pacífica de Sudamérica.;Originaria de la costa de América del Sur.;Se utiliza en caso de neuralgia, menorragia, catarro y diurético.;Hacer hervir las virutas o tablitas de palo santo durante 15 minutos, dejar reposar otros 5 minutos. Con 10 palitos del tamaño del dedo medio de la mano se pueden hacer unas 30 tazas de té.;Filtrar y tomar una taza con estevia, azúcar de caña o miel en las noches.;Magnoliophyta;Magnoliopsida;Sapindales;Burseraceae;Bursera;B. graveolens;plantas/palo_santo.jpg
23;Menta;Menta​, menta piperita, monte yuyo, menta negra, toronjil de menta.;Mentha spicata;Plantae;Es posible encontrarla en zonas templadas de ambos hemisferios.;Originaria de las regiones templadas de Europa.;Combate el mal aliento, previene la aparición de cataratas, tranquilizante, mejora la circulación.;20 o 30 hojas de menta por litro de agua hirviendo.;No se puede consumir más que 700 ml —3 tazas, aproximadamente— por día y repartidas en 3 dosis diferentes:  a la mañana, a la tarde y a la noche.;Magnoliophyta;Magnoliopsida;Lamiales;Lamiaceae (Labiatae).;Mentha;Mentha piperita.;plantas/menta.jpg
25;Casamarucha;Casamarucha,  cardo de tres punta, arrancamoños o agarramoños.;Acanthoxanthium spinosum.;Plantae;Cultivos, pastizales.;Es originaria de América, probablemente del Cono Sur (Bolivia, Chile, Argentina).;Los uso medicinales que dan son par contrarrestar la fiebre, como desinfectante de los aparatos reproductores femeninos y masculinos, especialmente en el tratamiento de la prostatitis y para disimular la fiebre.;Ponga a hervir un litro de agua y el momento de ponga el hervor, añada dos cucharada de la planta y tape. Deje reposar por 10 minutos;Cernir y dar de beber a la persona dos tazas al día durante dos días consecutivos.;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Xanthium;X. spinosum;plantas/casamarucha.jpg
26;Higo;Higo, higuera común, cabrahigo;Ficus carica;Plantae;Crece ahora espontáneamente en torno al Mediterráneo y en otras regiones del mundo.;Originario de Asia sudoccidental.;se utiliza para controlar la diabetes y bajar los niveles de los triglicéridos en la sangre. Su látex («leche de higo») se usó antiguamente para combatir caries dentales y verrugas de la piel, también se empleó para cuajar la leche.;Agregar 3 hojas de higuera en medio litro de agua, hervir durante 15 minutos.;Cernir y beber una taza todas las mañanas.;Magnoliophyta;Magnoliopsida;Rosales;Moraceae;Ficus;Ficus carica;plantas/hoja_de_higo.jpg
27;Pena Pena;Pena Pena, fucsia, chilco de Chile, melindres, palo blanco de Chile.;Fuchsia spp.;Plantae;Se extiende por todo el mundo.;Originario de Argentina y Chile.;Se utiliza para realizar aguas aromáticas con el fin de para ayudar a llevar mejor las penas, contra el Colerín, menstruaciones escasas o ausentes, Dolores menstruales, Disminuye la fiebre, Aumenta el flujo de orina.;Agregar una o dos flores de estas en un litro de agua y luego de hervir durante 5 minutos, endulzar y cernir.;Es recomendable tomarlas en las noches.;Magnoliophyta;Magnoliopsida;Myrtales.;Onagraceae.;Fuchsia;F. magellanica;plantas/pena_pena.jpg
37;Jengibre;Jengibre, Gengibre, Ajengibre, Jengibre dulce.;Zingiber officinale;Plantae;En regiones tropicales o subtropicales del mundo.;originario de los bosques lluviosos tropicales del subcontinente indio al sur de Asia.;Problemas digestivos como la gastritis y la gripe.;Para quitar la gripe se mezcla en la licuadora trozos de jengibre con limón eso se toman y se sanan.;Una vez al día.;Magnoliophyta;Liliopsida;Zingiberales;Zingiberaceae;Zingiber;Zingiber officinale;plantas/jengibre.png
35;Apio;Apio, Apio común, Apio de huerta.;Apium graveolens;Plantae;Europa (se utiliza muchísimo.en Francia, Italia y España ) y América.;Es  originario del Mediterráneo, del Cáucaso y del Himalaya.;Eliminar Cálculos renales.;Aplastar el apio sacar el sumo y beberlo.;Para eliminar cálculos renales tomar 4 veces al día.;Magnoliophyta;Magnoliopsida;Apiales;Apiaceae;Apium.;Apium graveolens.;plantas/apio.jpg
28;Ortiga Macho;Ortiga Macho, ortiga menor, ortiga, caballo chino, Huasca.;Urtica ballotifolia Wedd.;Plantae;habita en climas húmedos o tropicales.;América central y del Sur.;Tiene diferentes tipos de propiedades, pero en las aceptada es aquella que sirve para controlar la diabetes y dolores musculares.;Dejar hervir una rama en un litro de agua para posteriormente hervir y cernir, si se tiene dolores musculares se recomienda golpearse con la ramas para posteriormente tomar un baño;Tomar tres tazas diarias antes de las comidas.;Medicinal;Magnoliopsida;Urticales.;Urticaceae;Urtica;U. urens.;plantas/ortiga_macho.jpg
85;Rosa de Cerco;Rosa de Cerco, botija de Cuba, botulo de Guayaquil.;Cochlospermum vitifolium.;Plantae;Habita en climas cálidos, semicálidos y templados desde el nivel del mar hasta los l000 metros.;Originario de América tropical, y específicamente de México;Zumo se utiliza en la ictericia. las raice son usadas para la resolución de abscesos y su infusión, como calmante en las inflamaciones de los intestinos.;Zumo: el zumo exprimido de las hojas recién cogidas. Las raíces machacadas y su infusión.;Zumo: en dosis de una cucharada de las de sopa, repetida tres o cuatro veces al día. Se debe tomar una taza todas las noches hasta sver mejoria.;Magnoliophyta.;magnoliopsida;Malvales.;bixaceae;Cochlospermum;laurus nobilis;plantas/rosa_de_cerco.jpg
17;Toronjil;Toronjil, cidronela, cidronella, citraria, hierba cidra, hierba huerto;Melissa officinalis.;Plantae;Actualmente bajo cultivo en casi todo el mundo.;Nativa del sur de Europa y de la región mediterránea.;Se utiliza en infusión como tranquilizante natural y molestias del corazón, su aceite esencial se aprovecha en perfumería.;Recoger una porción de toronjil, luego chancar esta porción en una piedra, extraer el zumo y beberlo.;Beber el zumo de toronjil durante 9 días antes del desayuno.;Magnoliophyta;Magnoliopsida;Lamiales;Lamiaceae (Labiatae);Melissa;M. officinalis;plantas/toronjil.jpg
